Year,Month,Day,SiteName,Transect,PlotNumber,SpeciesCode,Cover,
2018,July,16,Control,1,QCG1,LD,60,
2018,July,16,Control,1,QCG1,conv,5,
2018,July,16,Control,1,QCG1,CA,5,
2018,July,16,Control,1,QCG1,CS,25,
2018,July,16,Control,1,QCG1,L,20,
2018,July,16,Control,1,QCG1,bare,NA,
2018,July,16,Control,2,QCG2,SV,35,
2018,July,16,Control,2,QCG2,CS,55,
2018,July,16,Control,2,QCG2,TT,5,
2018,July,16,Control,2,QCG2,L,15,
2018,July,16,Control,2,QCG2,EuphA,15,
2018,July,16,Control,2,QCG2,AG,1,
2018,July,16,Control,2,QCG2,QForb3,1,
2018,July,16,Control,2,QCG2,M,45,
2018,July,16,Control,2,QCG2,bare,3,
2018,July,16,Control,3,QCG3,TT,15,
2018,July,16,Control,3,QCG3,CS,20,
2018,July,16,Control,3,QCG3,SV,5,
2018,July,16,Control,3,QCG3,Phrag,15,
2018,July,16,Control,3,QCG3,QG1,10,
2018,July,16,Control,3,QCG3,L,60,
2018,July,16,Control,4,QCG4,PB,30,
2018,July,16,Control,4,QCG4,QG1,25,
2018,July,16,Control,4,QCG4,ArtH,65,
2018,July,16,Control,5,QCG5,CS,40,
2018,July,16,Control,5,QCG5,SV,30,
2018,July,16,Control,5,QCG5,QF3,0.5,
2018,July,16,Light,1,QLG1,CS,75,
2018,July,16,Light,1,QLG1,PB,8,
2018,July,16,Light,1,QLG1,L,8,
2018,July,16,Light,1,QLG1,AS,5,
2018,July,16,Light,1,QLG1,Bare,10,
2018,July,16,Light,1,QLG1,QG3,4,
2018,July,16,Light,2,QLG2,EuphA,8,
2018,July,16,Light,2,QLG2,PC,5,
2018,July,16,Light,2,QLG2,PB,45,
2018,July,16,Light,2,QLG2,AS,3,
2018,July,16,Light,3,QLG3,AS,45,
2018,July,16,Light,3,QLG3,PC,8,
2018,July,16,Light,3,QLG3,CS,10,
2018,July,16,Light,3,QLG3,QG3,10,
2018,July,16,Light,4,QLG4,LD,45,
2018,July,16,Light,4,QLG4,SV,40,
2018,July,16,Light,5,QLG5,Phrag,5,
2018,July,16,Light,5,QLG5,Euph2,20,
2018,July,16,Light,5,QLG5,PC,15,
2018,July,16,Light,5,QLG5,CS,20,
2018,July,16,Light,5,QLG5,EL,5,
2018,July,16,Heavy,1,QHG1,LD,12,
2018,July,16,Heavy,1,QHG1,PC,40,
2018,July,16,Heavy,2,QHG2,conv,5,
2018,July,16,Heavy,2,QHG2,LD,30,
2018,July,16,Heavy,2,QHG2,AH,10,
2018,July,16,Heavy,2,QHG2,CS,40,
2018,July,16,Heavy,3,QHG3,SV,17,
2018,July,16,Heavy,3,QHG3,AH,40,
2018,July,16,Heavy,4,QHG4,CS,15,
2018,July,16,Heavy,4,QHG4,AH,20,
2018,July,16,Heavy,4,QHG4,M,20,
2018,July,16,Heavy,4,QHG4,SV,10,
2018,July,17,Grazing,1,QG1,CS,25,
2018,July,17,Grazing,1,QG1,SV,5,
2018,July,17,Grazing,1,QG1,AS,15,
2018,July,17,Grazing,1,QG1,All,0.5,
2018,July,17,Grazing,1,QG1,TT,1,
2018,July,17,Grazing,1,QG1,EL,5,
2018,July,17,Grazing,1,QG1,bare,20,
2018,July,17,Grazing,1,QG1,L,20,
2018,July,17,Grazing,2,QG2,CS,25,
2018,July,17,Grazing,2,QG2,AA,2,
2018,July,17,Grazing,2,QG2,SV,10,
2018,July,17,Grazing,2,QG2,TT,40,
2018,July,17,Grazing,2,QG2,All,2,
2018,July,17,Grazing,2,QG2,EP,1,
2018,July,17,Grazing,2,QG2,CM,5,
2018,July,17,Grazing,2,QG2,bare,30,
2018,July,17,Grazing,2,QG2,L,5,
2018,July,17,Grazing,3,QG3,SV,20,
2018,July,17,Grazing,3,QG3,CA,5,
2018,July,17,Grazing,3,QG3,EP,3,
2018,July,17,Grazing,3,QG3,EuphA,1,
2018,July,17,Grazing,3,QG3,bare,30,
2018,July,17,Grazing,3,QG3,All,5,
2018,July,17,Grazing,3,QG3,CM,25,
2018,July,17,Grazing,3,QG3,LD,10,
2018,July,17,Grazing,3,QG3,PO,1,
2018,July,17,Grazing,3,QG3,L,2,
2018,July,17,Grazing,4,QG4,AF,15,
2018,July,17,Grazing,4,QG4,LD,10,
2018,July,17,Grazing,4,QG4,EP,10,
2018,July,17,Grazing,4,QG4,CS,10,
2018,July,17,Grazing,4,QG4,CM,12,
2018,July,17,Grazing,4,QG4,AS,10,
2018,July,17,Grazing,4,QG4,All,8,
2018,July,17,Grazing,4,QG4,SV,8,
2018,July,17,Grazing,4,QG4,CA,3,
2018,July,17,Grazing,4,QG4,bare,30,
2018,July,17,Grazing,5,QG5,LD,25,
2018,July,17,Grazing,5,QG5,SV,15,
2018,July,17,Grazing,5,QG5,Aponyc,10,
2018,July,17,Grazing,5,QG5,bare,40,
2018,July,17,Grazing,5,QG5,TT,2,
2018,July,17,Grazing,5,QG5,AA,3,
2018,July,17,Grazing,5,QG5,CM,3,
2018,July,17,Grazing,5,QG5,L,5,
2018,July,19,Naimen,1,QN1,SV,25,
2018,July,19,Naimen,1,QN1,EP,10,
2018,July,19,Naimen,1,QN1,Eph,15,
2018,July,19,Naimen,1,QN1,L,15,
2018,July,19,Naimen,1,QN1,TT,15,
2018,July,19,Naimen,1,QN1,CM,1,
2018,July,19,Naimen,1,QN1,CS,3,
2018,July,19,Naimen,1,QN1,bare,20,
2018,July,19,Naimen,2,QN2,LD,20,
2018,July,19,Naimen,2,QN2,Eph,35,
2018,July,19,Naimen,2,QN2,bare,2,
2018,July,19,Naimen,2,QN2,CT,30,
2018,July,19,Naimen,2,QN2,L,10,
2018,July,19,Naimen,3,QN3,SV,10,
2018,July,19,Naimen,3,QN3,EuphA,20,
2018,July,19,Naimen,3,QN3,LD,10,
2018,July,19,Naimen,3,QN3,Eph,15,
2018,July,19,Naimen,3,QN3,CT,5,
2018,July,19,Naimen,3,QN3,AA,10,
2018,July,19,Naimen,3,QN3,CS,8,
2018,July,19,Naimen,3,QN3,bare,22,
2018,July,19,Naimen,4,QN4,SV,25,
2018,July,19,Naimen,4,QN4,CA,35,
2018,July,19,Naimen,4,QN4,BD,10,
2018,July,19,Naimen,4,QN4,TT,10,
2018,July,19,Naimen,4,QN4,CM,2,
2018,July,19,Naimen,4,QN4,L,30,
2018,July,19,Naimen,4,QN4,bare,5,
2018,July,19,Naimen,5,QN5,SV,10,
2018,July,19,Naimen,5,QN5,AA,10,
2018,July,19,Naimen,5,QN5,TT,50,
2018,July,19,Naimen,5,QN5,LD,5,
2018,July,19,Naimen,5,QN5,L,5,
2018,July,19,Naimen,5,QN5,EP,5,
2018,July,19,Naimen,5,QN5,CS,5,
2018,July,19,Naimen,5,QN5,CM,5,
2018,July,19,Naimen,5,QN5,EuphA,15,